date,Releasing_Doctor,sum
13/01/2020,6769,3
13/01/2020,11174,6
13/01/2020,9851,1
13/01/2020,11688,3
13/01/2020,8958,4
13/01/2020,11350,7
13/01/2020,8082,1
13/01/2020,7306,8
13/01/2020,6861,13
13/01/2020,8301,9
13/01/2020,11497,7
13/01/2020,10262,3
13/01/2020,11195,11
13/01/2020,9893,2
13/01/2020,6546,1
13/01/2020,6885,11
13/01/2020,9487,5
13/01/2020,11250,3
13/01/2020,11617,2
13/01/2020,7624,7
13/01/2020,9762,3
13/01/2020,11673,7
13/01/2020,10202,1
13/01/2020,7893,9
13/01/2020,10126,16
13/01/2020,9073,7
13/01/2020,10255,1
13/01/2020,11481,9
13/01/2020,11051,7
13/01/2020,9262,6
13/01/2020,6777,6
13/01/2020,11790,4
13/01/2020,6775,11
13/01/2020,6771,9
13/01/2020,11760,16
13/01/2020,11670,4
13/01/2020,11040,3
13/01/2020,11761,1
13/01/2020,9660,2
14/01/2020,10126,8
14/01/2020,10255,8
14/01/2020,10947,1
14/01/2020,6777,7
14/01/2020,11659,6
14/01/2020,7233,5
14/01/2020,8706,6
14/01/2020,10590,2
14/01/2020,8082,4
14/01/2020,11350,2
14/01/2020,9422,12
14/01/2020,6726,5
14/01/2020,6769,2
14/01/2020,7680,13
14/01/2020,9893,5
14/01/2020,10343,1
14/01/2020,11758,1
14/01/2020,11612,8
14/01/2020,10155,1
14/01/2020,11497,13
14/01/2020,8175,1
14/01/2020,8301,5
14/01/2020,10824,1
14/01/2020,11794,3
14/01/2020,11670,5
14/01/2020,8907,7
14/01/2020,10615,8
14/01/2020,8808,2
14/01/2020,11481,3
14/01/2020,8958,5
14/01/2020,6774,2
14/01/2020,11315,4
14/01/2020,10127,2
14/01/2020,11760,3
14/01/2020,9851,5
14/01/2020,6771,3
14/01/2020,7893,2
14/01/2020,9073,7
14/01/2020,9330,4
14/01/2020,10933,7
14/01/2020,10033,2
14/01/2020,11473,4
14/01/2020,8979,9
14/01/2020,9487,1
14/01/2020,11288,3
14/01/2020,11614,2
14/01/2020,11673,4
14/01/2020,6773,22
14/01/2020,9975,2
14/01/2020,6939,13
14/01/2020,9352,5
14/01/2020,10831,1
14/01/2020,8470,12
14/01/2020,11444,8
15/01/2020,10824,13
15/01/2020,11414,5
15/01/2020,10202,5
15/01/2020,11797,2
15/01/2020,8234,5
15/01/2020,6775,11
15/01/2020,6796,15
15/01/2020,11612,5
15/01/2020,10127,5
15/01/2020,8979,13
15/01/2020,9703,2
15/01/2020,7680,1
15/01/2020,11762,9
15/01/2020,6771,1
15/01/2020,9762,11
15/01/2020,11473,9
15/01/2020,6770,7
15/01/2020,6861,6
15/01/2020,11670,7
15/01/2020,9792,13
15/01/2020,10615,2
15/01/2020,9585,10
15/01/2020,9330,1
15/01/2020,6774,6
15/01/2020,10923,6
15/01/2020,8907,1
15/01/2020,11010,13
15/01/2020,6777,15
15/01/2020,11616,8
15/01/2020,11662,3
15/01/2020,9435,8
15/01/2020,11760,5
15/01/2020,11497,7
15/01/2020,9729,8
15/01/2020,9403,2
15/01/2020,7233,1
15/01/2020,9262,6
15/01/2020,9851,1
15/01/2020,8301,1
15/01/2020,10255,4
15/01/2020,6939,8
16/01/2020,8958,3
16/01/2020,8447,2
16/01/2020,9435,5
16/01/2020,10575,15
16/01/2020,7359,10
16/01/2020,11816,1
16/01/2020,9585,10
16/01/2020,9660,1
16/01/2020,10933,4
16/01/2020,11760,5
16/01/2020,6861,7
16/01/2020,11762,2
16/01/2020,9762,1
16/01/2020,11051,5
16/01/2020,10824,3
16/01/2020,11668,8
16/01/2020,7306,1
16/01/2020,6773,10
16/01/2020,10033,14
16/01/2020,11408,7
16/01/2020,10127,6
16/01/2020,10831,4
16/01/2020,9973,2
16/01/2020,11076,7
16/01/2020,9729,2
16/01/2020,9792,6
16/01/2020,10016,11
16/01/2020,6770,6
16/01/2020,10275,6
16/01/2020,11497,4
16/01/2020,6775,16
16/01/2020,11673,5
16/01/2020,9893,7
16/01/2020,11350,5
16/01/2020,11791,1
16/01/2020,6768,4
16/01/2020,10202,1
16/01/2020,6769,1
16/01/2020,11616,3
16/01/2020,9262,5
16/01/2020,6774,3
16/01/2020,10923,1
16/01/2020,11670,3
16/01/2020,9718,5
16/01/2020,8301,6
16/01/2020,10798,9
16/01/2020,11794,1
16/01/2020,11040,1
16/01/2020,8817,4
16/01/2020,9330,1
16/01/2020,11646,11
16/01/2020,9851,5
16/01/2020,10408,17
16/01/2020,8979,3
16/01/2020,11662,2
17/01/2020,11783,5
17/01/2020,10946,12
17/01/2020,11370,9
17/01/2020,9660,18
17/01/2020,8821,5
17/01/2020,10262,10
17/01/2020,9973,2
17/01/2020,11040,6
17/01/2020,11406,5
17/01/2020,8979,1
17/01/2020,9718,5
17/01/2020,11673,5
17/01/2020,9703,4
17/01/2020,10408,4
17/01/2020,6774,11
17/01/2020,9749,1
17/01/2020,10127,24
17/01/2020,10798,1
17/01/2020,10016,6
17/01/2020,11473,8
17/01/2020,10545,1
17/01/2020,11646,3
17/01/2020,7233,14
17/01/2020,11461,8
17/01/2020,8082,6
17/01/2020,11668,2
17/01/2020,11670,9
17/01/2020,9792,11
17/01/2020,9073,11
17/01/2020,11439,3
17/01/2020,6771,30
17/01/2020,10575,5
17/01/2020,9562,1
17/01/2020,9909,14
17/01/2020,10590,2
18/01/2020,9749,1
18/01/2020,10127,3
18/01/2020,11439,1
18/01/2020,11620,16
18/01/2020,7893,4
18/01/2020,10262,3
18/01/2020,11670,1
18/01/2020,9762,14
18/01/2020,11644,16
18/01/2020,11630,11
18/01/2020,9262,3
18/01/2020,10126,29
18/01/2020,9435,14
18/01/2020,10590,1
18/01/2020,6546,7
18/01/2020,11291,12
18/01/2020,9792,25
18/01/2020,9403,4
18/01/2020,11610,1
18/01/2020,9585,1
18/01/2020,11440,11
18/01/2020,6768,5
18/01/2020,10946,4
18/01/2020,11159,1
18/01/2020,9909,1
18/01/2020,9660,8
18/01/2020,10033,3
18/01/2020,8979,11
19/01/2020,6775,16
19/01/2020,11497,13
19/01/2020,6770,4
19/01/2020,10499,2
